"Config:   ","DummyConfg","
"Sed_FeS   ",A,
"Sed_FeS2  ",A,
"Sed_FeCO3 ",A,
"SedNPOC1  ",A,
"SedNPOC2  ",A,
"SedNPOC3  ",A,
"SedNPOC4  ",A,
"Sum_Sedim ",A,
"Sed_AAP   ",A,
"Sed_CAAP  ",A,
"Res_DM    ",A,
"Bur_DM    ",A,
"Dig_DM    ",A,
"S12TraDetC",A,
"S12TraDetN",A,
"S12TraDetP",A,
"S12TraDetS",A,
"S12TraOOC ",A,
"S12TraOON ",A,
"S12TraOOP ",A,
"S12TraOOSi",A,
"S12TraDiat",A,
"ResN_DiaS1",A,
"ResN_DiaS2",A,
"S12TraMPB1",A,
"S12TraMPB2",A,
"S12TraIM1 ",A,
"S12TraIM2 ",A,
"S12TraIM3 ",A,
"S12TraAAP ",A,
"AdvTra    ",A,
"DSPTra    ",A,
"RFPART_Cd ",A,
"RFPART_Cu ",A,
"RFPART_Pb ",A,
"RFPART_Zn ",A,
"RFPART_Hg ",A,
"RFPART_Ni ",A,
"RFPART_Cr ",A,
"RFPART_As ",A,
"PartWK_Cd ",A,
"PartWK_Cr ",A,
"PartWK_Cu ",A,
"PartWK_Hg ",A,
"PartWK_Ni ",A,
"PartWK_Pb ",A,
"PartWK_As ",A,
"PartWK_Va ",A,
"PartWK_Zn ",A,
"PartS1_Cd ",A,
"PartS1_Cr ",A,
"PartS1_Cu ",A,
"PartS1_Hg ",A,
"PartS1_Ni ",A,
"PartS1_Pb ",A,
"PartS1_As ",A,
"PartS1_Va ",A,
"PartS1_Zn ",A,
"PartS2_Cd ",A,
"PartS2_Cr ",A,
"PartS2_Cu ",A,
"PartS2_Hg ",A,
"PartS2_Ni ",A,
"PartS2_Pb ",A,
"PartS2_As ",A,
"PartS2_Va ",A,
"PartS2_Zn ",A,
"PartS1_153",A,
"PartS1_Atr",A,
"PartS1_BaP",A,
"PartS1_Diu",A,
"PartS1_Flu",A,
"PartS1_HCB",A,
"PartS1_HCH",A,
"PartS1_Mef",A,
"PartS2_153",A,
"PartS2_Atr",A,
"PartS2_BaP",A,
"PartS2_Diu",A,
"PartS2_Flu",A,
"PartS2_HCB",A,
"PartS2_HCH",A,
"PartS2_Mef",A,
"PartWK_153",A,
"PartWK_Atr",A,
"PartWK_BaP",A,
"PartWK_Diu",A,
"PartWK_Flu",A,
"PartWK_HCB",A,
"PartWK_HCH",A,
"PartWK_Mef",A,
"TraSe2_IM1",A,
"TraSe2_OXY",A,
"TraSe2_BaP",A,
"TrSe2_POC1",A,
"TrSe2_POC2",A,
"TrSe2_POC3",A,
"TrSe2_PON1",A,
"TrSe2_PON2",A,
"TrSe2_PON3",A,
"TrSe2_POP1",A,
"TrSe2_POP2",A,
"TrSe2_POP3",A,
"TrSe2_POC4",A,
"TrSe2_PON4",A,
"TrSe2_POP4",A,
"TrSe2_POS1",A,
