outppr,outpit,outpnm,outpdo,outpsx
"Sed_POC5  ","fSedPOC5  ",   2,"x",1
"Sed_POC5  ","fSedPOC5S2",   3,"x",1
"Sed_POC5  ","VxSedPOC5 ",   4,"x",0
"Sed_VivP  ","PSedVIVP  ",   1,"x",1
"Sed_VivP  ","fSedVIVP  ",   2,"x",1
"Sed_VivP  ","VxSedVIVP ",   3,"x",0
"Sed_ApatP ","PSedAPATP ",   1,"x",1
"Sed_ApatP ","fSedAPATP ",   2,"x",1
"Sed_ApatP ","VxSedAPAT ",   3,"x",0
"Sed_Fe3pa ","PSedFe3pa ",   1,"x",1
"Sed_Fe3pa ","fSedFe3pa ",   2,"x",1
"Sed_Fe3pa ","VxSedFe3pa",   3,"x",0
"Sed_Fe3pc ","PSedFe3pc ",   1,"x",1
"Sed_Fe3pc ","fSedFe3pc ",   2,"x",1
"Sed_Fe3pc ","VxSedFe3pc",   3,"x",0
"Sed_FeS   ","PSedFeS   ",   1,"x",1
"Sed_FeS   ","fSedFeS   ",   2,"x",1
"Sed_FeS   ","VxSedFeS  ",   3,"x",0
"Sed_FeS2  ","PSedFeS2  ",   1,"x",1
"Sed_FeS2  ","fSedFeS2  ",   2,"x",1
"Sed_FeS2  ","VxSedFeS2 ",   3,"x",0
"Sed_FeCO3 ","PSedFeCO3 ",   1,"x",1
"Sed_FeCO3 ","fSedFeCO3 ",   2,"x",1
"Sed_FeCO3 ","VxSedFeCO3",   3,"x",0
"SedNPOC1  ","fSedPON1  ",   1,"x",1
"SedNPOC1  ","fSedPOP1  ",   2,"x",1
"SedNPOC1  ","fSedPOS1  ",   3,"x",1
"SedNPOC1  ","fSedPON1S2",   4,"x",1
"SedNPOC1  ","fSedPOP1S2",   5,"x",1
"SedNPOC1  ","fSedPOS1S2",   6,"x",1
"SedNPOC2  ","fSedPON2  ",   1,"x",1
"SedNPOC2  ","fSedPOP2  ",   2,"x",1
"SedNPOC2  ","fSedPOS2  ",   3,"x",1
"SedNPOC2  ","fSedPON2S2",   4,"x",1
"SedNPOC2  ","fSedPOP2S2",   5,"x",1
"SedNPOC2  ","fSedPOS2S2",   6,"x",1
"SedNPOC3  ","fSedPON3  ",   1,"x",1
"SedNPOC3  ","fSedPOP3  ",   2,"x",1
"SedNPOC3  ","fSedPOS3  ",   3,"x",1
"SedNPOC3  ","fSedPON3S2",   4,"x",1
"SedNPOC3  ","fSedPOP3S2",   5,"x",1
"SedNPOC3  ","fSedPOS3S2",   6,"x",1
"SedNPOC4  ","fSedPON4  ",   1,"x",1
"SedNPOC4  ","fSedPOP4  ",   2,"x",1
"SedNPOC4  ","fSedPOS4  ",   3,"x",1
"SedNPOC4  ","fSedPON4S2",   4,"x",1
"SedNPOC4  ","fSedPOP4S2",   5,"x",1
"SedNPOC4  ","fSedPOS4S2",   6,"x",1
"SedNPOC5  ","fSedPON5  ",   1,"x",1
"SedNPOC5  ","fSedPOP5  ",   2,"x",1
"SedNPOC5  ","fSedPOS5  ",   3,"x",1
"SedNPOC5  ","fSedPON5S2",   4,"x",1
"SedNPOC5  ","fSedPOP5S2",   5,"x",1
"SedNPOC5  ","fSedPOS5S2",   6,"x",1
"Sum_Sedim ","fSedDM    ",   1,"x",1
"Sum_Sedim ","fSedTIM   ",   2,"x",1
"Sum_Sedim ","fSedPOC   ",   3,"x",1
"Sum_Sedim ","fSedPOCnoa",   4,"x",1
"Sum_Sedim ","fSedPOMnoa",   5,"x",1
"Sum_Sedim ","VxSedTIM  ",   6,"x",0
"Sum_Sedim ","VxSedPOCna",   7,"x",0
"Sed_AAP   ","fSedAAP   ",   1,"x",1
"Sed_AAP   ","fSedAAPS2 ",   2," ",1
"Sed_AAP   ","VxSedAAP  ",   3,"x",0
"Sed_CAAP  ","PSedCAAP  ",   1,"x",1
"Sed_CAAP  ","fSedCAAP  ",   2,"x",1
"Sed_CAAP  ","VxSedCAAP ",   3,"x",0
"Res_DM    ","fResS1DM  ",   1,"x",1
"Res_DM    ","fResS2DM  ",   2,"x",1
"Res_DM    ","PResS1DM  ",   3,"x",1
"Res_DM    ","PResS2DM  ",   4,"x",1
"Bur_DM    ","fBurS1DM  ",   1,"x",1
"Bur_DM    ","UdfBurS1DM",   2,"x",1
"Bur_DM    ","ExcBurS1DM",   3,"x",1
"Bur_DM    ","fBurS2DM  ",   4,"x",1
"Bur_DM    ","UdfBurS2DM",   5,"x",1
"Bur_DM    ","ExcBurS2DM",   6,"x",1
"Dig_DM    ","fDigS1DM  ",   1,"x",1
"Dig_DM    ","fDigS2DM  ",   2,"x",1
"S12TraDetC","fResS1DetC",   1,"x",1
"S12TraDetC","fResS2DetC",   2,"x",1
"S12TraDetC","fBurS1DetC",   3,"x",1
"S12TraDetC","fSWBuS1DtC",   4," ",1
"S12TraDetC","fBurS2DetC",   5,"x",1
"S12TraDetC","fDigS1DetC",   6,"x",1
"S12TraDetC","fDigS2DetC",   7,"x",1
"S12TraDetN","fResS1DetN",   1,"x",1
"S12TraDetN","fResS2DetN",   2,"x",1
"S12TraDetN","fBurS1DetN",   3,"x",1
"S12TraDetN","fSWBuS1DtN",   4," ",1
"S12TraDetN","fBurS2DetN",   5,"x",1
"S12TraDetN","fDigS1DetN",   6,"x",1
"S12TraDetN","fDigS2DetN",   7,"x",1
"S12TraDetP","fResS1DetP",   1,"x",1
"S12TraDetP","fResS2DetP",   2,"x",1
"S12TraDetP","fBurS1DetP",   3,"x",1
"S12TraDetP","fSWBuS1DtP",   4," ",1
"S12TraDetP","fBurS2DetP",   5,"x",1
"S12TraDetP","fDigS1DetP",   6,"x",1
"S12TraDetP","fDigS2DetP",   7,"x",1
"S12TraDetS","fResS1DetS",   1,"x",1
"S12TraDetS","fResS2DetS",   2,"x",1
"S12TraDetS","fBurS1DetS",   3,"x",1
"S12TraDetS","fSWBuS1DtS",   4," ",1
"S12TraDetS","fBurS2DetS",   5,"x",1
"S12TraDetS","fDigS1DetS",   6,"x",1
"S12TraDetS","fDigS2DetS",   7,"x",1
"S12TraOOC ","fResS1OOC ",   1,"x",1
"S12TraOOC ","fResS2OOC ",   2,"x",1
"S12TraOOC ","fBurS1OOC ",   3,"x",1
"S12TraOOC ","fSWBuS1OOC",   4," ",1
"S12TraOOC ","fBurS2OOC ",   5,"x",1
"S12TraOOC ","fDigS1OOC ",   6,"x",1
"S12TraOOC ","fDigS2OOC ",   7,"x",1
"S12TraOON ","fResS1OON ",   1,"x",1
"S12TraOON ","fResS2OON ",   2,"x",1
"S12TraOON ","fBurS1OON ",   3,"x",1
"S12TraOON ","fSWBuS1OON",   4," ",1
"S12TraOON ","fBurS2OON ",   5,"x",1
"S12TraOON ","fDigS1OON ",   6,"x",1
"S12TraOON ","fDigS2OON ",   7,"x",1
"S12TraOOP ","fResS1OOP ",   1,"x",1
"S12TraOOP ","fResS2OOP ",   2,"x",1
"S12TraOOP ","fBurS1OOP ",   3,"x",1
"S12TraOOP ","fSWBuS1OOP",   4," ",1
"S12TraOOP ","fBurS2OOP ",   5,"x",1
"S12TraOOP ","fDigS1OOP ",   6,"x",1
"S12TraOOP ","fDigS2OOP ",   7,"x",1
"S12TraOOSi","fResS1OOSi",   1,"x",1
"S12TraOOSi","fResS2OOSi",   2,"x",1
"S12TraOOSi","fBurS1OOS ",   3,"x",1
"S12TraOOSi","fSWBuS1OOS",   4," ",1
"S12TraOOSi","fBurS2OOS ",   5,"x",1
"S12TraOOSi","fDigS1OOS ",   6,"x",1
"S12TraOOSi","fDigS2OOS ",   7,"x",1
"S12TraDiat","fResS1Diat",   1,"x",1
"S12TraDiat","fResS2Diat",   2,"x",1
"S12TraDiat","fBurS1Diat",   3,"x",1
"S12TraDiat","fSWBuS1Dia",   4," ",1
"S12TraDiat","fBurS2Diat",   5,"x",1
"S12TraDiat","fDigS1Diat",   6,"x",1
"S12TraDiat","fDigS2Diat",   7,"x",1
"S12TraMPB1","fResS1MPB1",   1,"x",1
"S12TraMPB1","fResS2MPB1",   2,"x",1
"S12TraMPB1","fBurS1MPB1",   3,"x",1
"S12TraMPB1","fSWBurDum ",   4," ",1
"S12TraMPB1","fBurS2MPB1",   5,"x",1
"S12TraMPB1","fDigS1MPB1",   6,"x",1
"S12TraMPB1","fDigS2MPB1",   7,"x",1
"S12TraMPB2","fResS1MPB2",   1,"x",1
"S12TraMPB2","fResS2MPB2",   2,"x",1
"S12TraMPB2","fBurS1MPB2",   3,"x",1
"S12TraMPB2","fSWBurDum ",   4," ",1
"S12TraMPB2","fBurS2MPB2",   5,"x",1
"S12TraMPB2","fDigS1MPB2",   6,"x",1
"S12TraMPB2","fDigS2MPB2",   7,"x",1
"S12TraIM1 ","fResS1IM1 ",   1,"x",1
"S12TraIM1 ","fResS2IM1 ",   2,"x",1
"S12TraIM1 ","fBurS1IM1 ",   3,"x",1
"S12TraIM1 ","fSWBurDum ",   4," ",1
"S12TraIM1 ","fBurS2IM1 ",   5,"x",1
"S12TraIM1 ","fDigS1IM1 ",   6,"x",1
"S12TraIM1 ","fDigS2IM1 ",   7,"x",1
"S12TraIM2 ","fResS1IM2 ",   1,"x",1
"S12TraIM2 ","fResS2IM2 ",   2,"x",1
"S12TraIM2 ","fBurS1IM2 ",   3,"x",1
"S12TraIM2 ","fSWBurDum ",   4," ",1
"S12TraIM2 ","fBurS2IM2 ",   5,"x",1
"S12TraIM2 ","fDigS1IM2 ",   6,"x",1
"S12TraIM2 ","fDigS2IM2 ",   7,"x",1
"S12TraIM3 ","fResS1IM3 ",   1,"x",1
"S12TraIM3 ","fResS2IM3 ",   2,"x",1
"S12TraIM3 ","fBurS1IM3 ",   3,"x",1
"S12TraIM3 ","fSWBurDum ",   4," ",1
"S12TraIM3 ","fBurS2IM3 ",   5,"x",1
"S12TraIM3 ","fDigS1IM3 ",   6,"x",1
"S12TraIM3 ","fDigS2IM3 ",   7,"x",1
"S12TraAAP ","fResS1AAP ",   1,"x",1
"S12TraAAP ","fResS2AAP ",   2,"x",1
"S12TraAAP ","fBurS1AAP ",   3,"x",1
"S12TraAAP ","fSWBurDum ",   4," ",1
"S12TraAAP ","fBurS2AAP ",   5,"x",1
"S12TraAAP ","fDigS1AAP ",   6,"x",1
"S12TraAAP ","fDigS2AAP ",   7,"x",1
"AdvTra    ","fResDM    ",   1,"x",1
"AdvTra    ","PResDM    ",   2,"x",1
"AdvTra    ","fResTDM   ",   3,"x",1
"AdvTra    ","fBurDM    ",   4,"x",1
"AdvTra    ","VxRes0    ",   5,"x",0
"AdvTra    ","VxSed0    ",   6,"x",0
"AdvTra    ","VxBur0    ",   7,"x",0
"AdvTra    ","VxSep0    ",   8,"x",0
"AdvTra    ","VxResVol  ",   9,"x",0
"AdvTra    ","VxSedVol  ",  10,"x",0
"AdvTra    ","VxBurVol  ",  11,"x",0
"AdvTra    ","VxSepVol  ",  12,"x",0
"DSPTra    ","VxTur0    ",   1,"x",0
"DSPTra    ","VxDif0    ",   2,"x",0
"RFPART_Cd ","KdCdIM1   ",   1,"x",1
"RFPART_Cd ","KdCdIM2   ",   2,"x",1
"RFPART_Cd ","KdCdIM3   ",   3,"x",1
"RFPART_Cu ","KdCuIM1   ",   1,"x",1
"RFPART_Cu ","KdCuIM2   ",   2,"x",1
"RFPART_Cu ","KdCuIM3   ",   3,"x",1
"RFPART_Pb ","KdPbIM1   ",   1,"x",1
"RFPART_Pb ","KdPbIM2   ",   2,"x",1
"RFPART_Pb ","KdPbIM3   ",   3,"x",1
"RFPART_Zn ","KdZnIM1   ",   1,"x",1
"RFPART_Zn ","KdZnIM2   ",   2,"x",1
"RFPART_Zn ","KdZnIM3   ",   3,"x",1
"RFPART_Hg ","KdHgIM1   ",   1,"x",1
"RFPART_Hg ","KdHgIM2   ",   2,"x",1
"RFPART_Hg ","KdHgIM3   ",   3,"x",1
"RFPART_Ni ","KdNiIM1   ",   1,"x",1
"RFPART_Ni ","KdNiIM2   ",   2,"x",1
"RFPART_Ni ","KdNiIM3   ",   3,"x",1
"RFPART_Cr ","KdCrIM1   ",   1,"x",1
"RFPART_Cr ","KdCrIM2   ",   2,"x",1
"RFPART_Cr ","KdCrIM3   ",   3,"x",1
"RFPART_As ","KdAsIM1   ",   1,"x",1
"RFPART_As ","KdAsIM2   ",   2,"x",1
"RFPART_As ","KdAsIM3   ",   3,"x",1
"PartWK_Cd ","FrCdDis   ",   1,"x",1
"PartWK_Cd ","FrCdDOC   ",   2,"x",1
"PartWK_Cd ","FrCdIM1   ",   3,"x",1
"PartWK_Cd ","FrCdIM2   ",   4,"x",1
"PartWK_Cd ","FrCdIM3   ",   5,"x",1
"PartWK_Cd ","FrCdPOC   ",   6,"x",1
"PartWK_Cd ","FrCdPHYT  ",   7,"x",1
"PartWK_Cd ","FrCdSulf  ",   8," ",1
"PartWK_Cd ","DisCd     ",   9,"x",1
"PartWK_Cd ","DOCCd     ",  10,"x",1
"PartWK_Cd ","QCdIM1    ",  11,"x",1
"PartWK_Cd ","QCdIM2    ",  12,"x",1
"PartWK_Cd ","QCdIM3    ",  13,"x",1
"PartWK_Cd ","QCdPOC    ",  14,"x",1
"PartWK_Cd ","QCdPHYT   ",  15,"x",1
"PartWK_Cd ","Cdtot     ",  16,"x",1
"PartWK_Cd ","QCdSS     ",  17,"x",1
"PartWK_Cd ","KdCdSS    ",  18,"x",1
"PartWK_Cr ","FrCrDis   ",   1,"x",1
"PartWK_Cr ","FrCrDOC   ",   2,"x",1
"PartWK_Cr ","FrCrIM1   ",   3,"x",1
"PartWK_Cr ","FrCrIM2   ",   4,"x",1
"PartWK_Cr ","FrCrIM3   ",   5,"x",1
"PartWK_Cr ","FrCrPOC   ",   6,"x",1
"PartWK_Cr ","FrCrPHYT  ",   7,"x",1
"PartWK_Cr ","FrCrHydr  ",   8,"x",1
"PartWK_Cr ","DisCr     ",   9,"x",1
"PartWK_Cr ","DOCCr     ",  10,"x",1
"PartWK_Cr ","QCrIM1    ",  11,"x",1
"PartWK_Cr ","QCrIM2    ",  12,"x",1
"PartWK_Cr ","QCrIM3    ",  13,"x",1
"PartWK_Cr ","QCrPOC    ",  14,"x",1
"PartWK_Cr ","QCrPHYT   ",  15,"x",1
"PartWK_Cr ","Crtot     ",  16,"x",1
"PartWK_Cr ","QCrSS     ",  17,"x",1
"PartWK_Cr ","KdCrSS    ",  18,"x",1
"PartWK_Cu ","FrCuDis   ",   1,"x",1
"PartWK_Cu ","FrCuDOC   ",   2,"x",1
"PartWK_Cu ","FrCuIM1   ",   3,"x",1
"PartWK_Cu ","FrCuIM2   ",   4,"x",1
"PartWK_Cu ","FrCuIM3   ",   5,"x",1
"PartWK_Cu ","FrCuPOC   ",   6,"x",1
"PartWK_Cu ","FrCuPHYT  ",   7,"x",1
"PartWK_Cu ","FrCuSulf  ",   8," ",1
"PartWK_Cu ","DisCu     ",   9,"x",1
"PartWK_Cu ","DOCCu     ",  10,"x",1
"PartWK_Cu ","QCuIM1    ",  11,"x",1
"PartWK_Cu ","QCuIM2    ",  12,"x",1
"PartWK_Cu ","QCuIM3    ",  13,"x",1
"PartWK_Cu ","QCuPOC    ",  14,"x",1
"PartWK_Cu ","QCuPHYT   ",  15,"x",1
"PartWK_Cu ","Cutot     ",  16,"x",1
"PartWK_Cu ","QCuSS     ",  17,"x",1
"PartWK_Cu ","KdCuSS    ",  18,"x",1
"PartWK_Hg ","FrHgDis   ",   1,"x",1
"PartWK_Hg ","FrHgDOC   ",   2,"x",1
"PartWK_Hg ","FrHgIM1   ",   3,"x",1
"PartWK_Hg ","FrHgIM2   ",   4,"x",1
"PartWK_Hg ","FrHgIM3   ",   5,"x",1
"PartWK_Hg ","FrHgPOC   ",   6,"x",1
"PartWK_Hg ","FrHgPHYT  ",   7,"x",1
"PartWK_Hg ","FrHgSulf  ",   8," ",1
"PartWK_Hg ","DisHg     ",   9,"x",1
"PartWK_Hg ","DOCHg     ",  10,"x",1
"PartWK_Hg ","QHgIM1    ",  11,"x",1
"PartWK_Hg ","QHgIM2    ",  12,"x",1
"PartWK_Hg ","QHgIM3    ",  13,"x",1
"PartWK_Hg ","QHgPOC    ",  14,"x",1
"PartWK_Hg ","QHgPHYT   ",  15,"x",1
"PartWK_Hg ","Hgtot     ",  16,"x",1
"PartWK_Hg ","QHgSS     ",  17,"x",1
"PartWK_Hg ","KdHgSS    ",  18,"x",1
"PartWK_Ni ","FrNiDis   ",   1,"x",1
"PartWK_Ni ","FrNiDOC   ",   2,"x",1
"PartWK_Ni ","FrNiIM1   ",   3,"x",1
"PartWK_Ni ","FrNiIM2   ",   4,"x",1
"PartWK_Ni ","FrNiIM3   ",   5,"x",1
"PartWK_Ni ","FrNiPOC   ",   6,"x",1
"PartWK_Ni ","FrNiPHYT  ",   7,"x",1
"PartWK_Ni ","FrNiSulf  ",   8," ",1
"PartWK_Ni ","DisNi     ",   9,"x",1
"PartWK_Ni ","DOCNi     ",  10,"x",1
"PartWK_Ni ","QNiIM1    ",  11,"x",1
"PartWK_Ni ","QNiIM2    ",  12,"x",1
"PartWK_Ni ","QNiIM3    ",  13,"x",1
"PartWK_Ni ","QNiPOC    ",  14,"x",1
"PartWK_Ni ","QNiPHYT   ",  15,"x",1
"PartWK_Ni ","Nitot     ",  16,"x",1
"PartWK_Ni ","QNiSS     ",  17,"x",1
"PartWK_Ni ","KdNiSS    ",  18,"x",1
"PartWK_Pb ","FrPbDis   ",   1,"x",1
"PartWK_Pb ","FrPbDOC   ",   2,"x",1
"PartWK_Pb ","FrPbIM1   ",   3,"x",1
"PartWK_Pb ","FrPbIM2   ",   4,"x",1
"PartWK_Pb ","FrPbIM3   ",   5,"x",1
"PartWK_Pb ","FrPbPOC   ",   6,"x",1
"PartWK_Pb ","FrPbPHYT  ",   7,"x",1
"PartWK_Pb ","FrPbSulf  ",   8," ",1
"PartWK_Pb ","DisPb     ",   9,"x",1
"PartWK_Pb ","DOCPb     ",  10,"x",1
"PartWK_Pb ","QPbIM1    ",  11,"x",1
"PartWK_Pb ","QPbIM2    ",  12,"x",1
"PartWK_Pb ","QPbIM3    ",  13,"x",1
"PartWK_Pb ","QPbPOC    ",  14,"x",1
"PartWK_Pb ","QPbPHYT   ",  15,"x",1
"PartWK_Pb ","Pbtot     ",  16,"x",1
"PartWK_Pb ","QPbSS     ",  17,"x",1
"PartWK_Pb ","KdPbSS    ",  18,"x",1
"PartWK_As ","FrAsDis   ",   1,"x",1
"PartWK_As ","FrAsDOC   ",   2,"x",1
"PartWK_As ","FrAsIM1   ",   3,"x",1
"PartWK_As ","FrAsIM2   ",   4,"x",1
"PartWK_As ","FrAsIM3   ",   5,"x",1
"PartWK_As ","FrAsPOC   ",   6,"x",1
"PartWK_As ","FrAsPHYT  ",   7,"x",1
"PartWK_As ","FrAsSulf  ",   8," ",1
"PartWK_As ","DisAs     ",   9,"x",1
"PartWK_As ","DOCAs     ",  10,"x",1
"PartWK_As ","QAsIM1    ",  11,"x",1
"PartWK_As ","QAsIM2    ",  12,"x",1
"PartWK_As ","QAsIM3    ",  13,"x",1
"PartWK_As ","QAsPOC    ",  14,"x",1
"PartWK_As ","QAsPHYT   ",  15,"x",1
"PartWK_As ","Astot     ",  16,"x",1
"PartWK_As ","QAsSS     ",  17,"x",1
"PartWK_As ","KdAsSS    ",  18,"x",1
"PartWK_Va ","FrVaDis   ",   1,"x",1
"PartWK_Va ","FrVaDOC   ",   2,"x",1
"PartWK_Va ","FrVaIM1   ",   3,"x",1
"PartWK_Va ","FrVaIM2   ",   4,"x",1
"PartWK_Va ","FrVaIM3   ",   5,"x",1
"PartWK_Va ","FrVaPOC   ",   6,"x",1
"PartWK_Va ","FrVaPHYT  ",   7,"x",1
"PartWK_Va ","FrVaSulf  ",   8," ",1
"PartWK_Va ","DisVa     ",   9,"x",1
"PartWK_Va ","DOCVa     ",  10,"x",1
"PartWK_Va ","QVaIM1    ",  11,"x",1
"PartWK_Va ","QVaIM2    ",  12,"x",1
"PartWK_Va ","QVaIM3    ",  13,"x",1
"PartWK_Va ","QVaPOC    ",  14,"x",1
"PartWK_Va ","QVaPHYT   ",  15,"x",1
"PartWK_Va ","Vatot     ",  16,"x",1
"PartWK_Va ","QVaSS     ",  17,"x",1
"PartWK_Va ","KdVaSS    ",  18,"x",1
"PartWK_Zn ","FrZnDis   ",   1,"x",1
"PartWK_Zn ","FrZnDOC   ",   2,"x",1
"PartWK_Zn ","FrZnIM1   ",   3,"x",1
"PartWK_Zn ","FrZnIM2   ",   4,"x",1
"PartWK_Zn ","FrZnIM3   ",   5,"x",1
"PartWK_Zn ","FrZnPOC   ",   6,"x",1
"PartWK_Zn ","FrZnPHYT  ",   7,"x",1
"PartWK_Zn ","FrZnSulf  ",   8," ",1
"PartWK_Zn ","DisZn     ",   9,"x",1
"PartWK_Zn ","DOCZn     ",  10,"x",1
"PartWK_Zn ","QZnIM1    ",  11,"x",1
"PartWK_Zn ","QZnIM2    ",  12,"x",1
"PartWK_Zn ","QZnIM3    ",  13,"x",1
"PartWK_Zn ","QZnPOC    ",  14,"x",1
"PartWK_Zn ","QZnPHYT   ",  15,"x",1
"PartWK_Zn ","Zntot     ",  16,"x",1
"PartWK_Zn ","QZnSS     ",  17,"x",1
"PartWK_Zn ","KdZnSS    ",  18,"x",1
"PartS1_Cd ","FrCdDisS1 ",   1,"x",1
"PartS1_Cd ","FrCdDOCS1 ",   2,"x",1
"PartS1_Cd ","FrCdIM1S1 ",   3,"x",1
"PartS1_Cd ","FrCdIM2S1 ",   4,"x",1
"PartS1_Cd ","FrCdIM3S1 ",   5,"x",1
"PartS1_Cd ","FrCdPOCS1 ",   6,"x",1
"PartS1_Cd ","FrCdPHYTS1",   7,"x",1
"PartS1_Cd ","FrCdSulfS1",   8," ",1
"PartS1_Cd ","DisCdS1   ",   9,"x",1
"PartS1_Cd ","DOCCdS1   ",  10,"x",1
"PartS1_Cd ","QCdIM1S1  ",  11,"x",1
"PartS1_Cd ","QCdIM2S1  ",  12,"x",1
"PartS1_Cd ","QCdIM3S1  ",  13,"x",1
"PartS1_Cd ","QCdPOCS1  ",  14,"x",1
"PartS1_Cd ","QCdPHYTS1 ",  15,"x",1
"PartS1_Cd ","CdS1tot   ",  16,"x",1
"PartS1_Cd ","QCdDMS1   ",  17,"x",1
"PartS1_Cd ","KdCdDMS1  ",  18,"x",1
"PartS1_Cr ","FrCrDisS1 ",   1,"x",1
"PartS1_Cr ","FrCrDOCS1 ",   2,"x",1
"PartS1_Cr ","FrCrIM1S1 ",   3,"x",1
"PartS1_Cr ","FrCrIM2S1 ",   4,"x",1
"PartS1_Cr ","FrCrIM3S1 ",   5,"x",1
"PartS1_Cr ","FrCrPOCS1 ",   6,"x",1
"PartS1_Cr ","FrCrPHYTS1",   7,"x",1
"PartS1_Cr ","FrCrHydrS1",   8,"x",1
"PartS1_Cr ","DisCrS1   ",   9,"x",1
"PartS1_Cr ","DOCCrS1   ",  10,"x",1
"PartS1_Cr ","QCrIM1S1  ",  11,"x",1
"PartS1_Cr ","QCrIM2S1  ",  12,"x",1
"PartS1_Cr ","QCrIM3S1  ",  13,"x",1
"PartS1_Cr ","QCrPOCS1  ",  14,"x",1
"PartS1_Cr ","QCrPHYTS1 ",  15,"x",1
"PartS1_Cr ","CrS1tot   ",  16,"x",1
"PartS1_Cr ","QCrDMS1   ",  17,"x",1
"PartS1_Cr ","KdCrDMS1  ",  18,"x",1
"PartS1_Cu ","FrCuDisS1 ",   1,"x",1
"PartS1_Cu ","FrCuDOCS1 ",   2,"x",1
"PartS1_Cu ","FrCuIM1S1 ",   3,"x",1
"PartS1_Cu ","FrCuIM2S1 ",   4,"x",1
"PartS1_Cu ","FrCuIM3S1 ",   5,"x",1
"PartS1_Cu ","FrCuPOCS1 ",   6,"x",1
"PartS1_Cu ","FrCuPHYTS1",   7,"x",1
"PartS1_Cu ","FrCuSulfS1",   8," ",1
"PartS1_Cu ","DisCuS1   ",   9,"x",1
"PartS1_Cu ","DOCCuS1   ",  10,"x",1
"PartS1_Cu ","QCuIM1S1  ",  11,"x",1
"PartS1_Cu ","QCuIM2S1  ",  12,"x",1
"PartS1_Cu ","QCuIM3S1  ",  13,"x",1
"PartS1_Cu ","QCuPOCS1  ",  14,"x",1
"PartS1_Cu ","QCuPHYTS1 ",  15,"x",1
"PartS1_Cu ","CuS1tot   ",  16,"x",1
"PartS1_Cu ","QCuDMS1   ",  17,"x",1
"PartS1_Cu ","KdCuDMS1  ",  18,"x",1
"PartS1_Hg ","FrHgDisS1 ",   1,"x",1
"PartS1_Hg ","FrHgDOCS1 ",   2,"x",1
"PartS1_Hg ","FrHgIM1S1 ",   3,"x",1
"PartS1_Hg ","FrHgIM2S1 ",   4,"x",1
"PartS1_Hg ","FrHgIM3S1 ",   5,"x",1
"PartS1_Hg ","FrHgPOCS1 ",   6,"x",1
"PartS1_Hg ","FrHgPHYTS1",   7,"x",1
"PartS1_Hg ","FrHgSulfS1",   8," ",1
"PartS1_Hg ","DisHgS1   ",   9,"x",1
"PartS1_Hg ","DOCHgS1   ",  10,"x",1
"PartS1_Hg ","QHgIM1S1  ",  11,"x",1
"PartS1_Hg ","QHgIM2S1  ",  12,"x",1
"PartS1_Hg ","QHgIM3S1  ",  13,"x",1
"PartS1_Hg ","QHgPOCS1  ",  14,"x",1
"PartS1_Hg ","QHgPHYTS1 ",  15,"x",1
"PartS1_Hg ","HgS1tot   ",  16,"x",1
"PartS1_Hg ","QHgDMS1   ",  17,"x",1
"PartS1_Hg ","KdHgDMS1  ",  18,"x",1
"PartS1_Ni ","FrNiDisS1 ",   1,"x",1
"PartS1_Ni ","FrNiDOCS1 ",   2,"x",1
"PartS1_Ni ","FrNiIM1S1 ",   3,"x",1
"PartS1_Ni ","FrNiIM2S1 ",   4,"x",1
"PartS1_Ni ","FrNiIM3S1 ",   5,"x",1
"PartS1_Ni ","FrNiPOCS1 ",   6,"x",1
"PartS1_Ni ","FrNiPHYTS1",   7,"x",1
"PartS1_Ni ","FrNiSulfS1",   8," ",1
"PartS1_Ni ","DisNiS1   ",   9,"x",1
"PartS1_Ni ","DOCNiS1   ",  10,"x",1
"PartS1_Ni ","QNiIM1S1  ",  11,"x",1
"PartS1_Ni ","QNiIM2S1  ",  12,"x",1
"PartS1_Ni ","QNiIM3S1  ",  13,"x",1
"PartS1_Ni ","QNiPOCS1  ",  14,"x",1
"PartS1_Ni ","QNiPHYTS1 ",  15,"x",1
"PartS1_Ni ","NiS1tot   ",  16,"x",1
"PartS1_Ni ","QNiDMS1   ",  17,"x",1
"PartS1_Ni ","KdNiDMS1  ",  18,"x",1
"PartS1_Pb ","FrPbDisS1 ",   1,"x",1
"PartS1_Pb ","FrPbDOCS1 ",   2,"x",1
"PartS1_Pb ","FrPbIM1S1 ",   3,"x",1
"PartS1_Pb ","FrPbIM2S1 ",   4,"x",1
"PartS1_Pb ","FrPbIM3S1 ",   5,"x",1
"PartS1_Pb ","FrPbPOCS1 ",   6,"x",1
"PartS1_Pb ","FrPbPHYTS1",   7,"x",1
"PartS1_Pb ","FrPbSulfS1",   8," ",1
"PartS1_Pb ","DisPbS1   ",   9,"x",1
"PartS1_Pb ","DOCPbS1   ",  10,"x",1
"PartS1_Pb ","QPbIM1S1  ",  11,"x",1
"PartS1_Pb ","QPbIM2S1  ",  12,"x",1
"PartS1_Pb ","QPbIM3S1  ",  13,"x",1
"PartS1_Pb ","QPbPOCS1  ",  14,"x",1
"PartS1_Pb ","QPbPHYTS1 ",  15,"x",1
"PartS1_Pb ","PbS1tot   ",  16,"x",1
"PartS1_Pb ","QPbDMS1   ",  17,"x",1
"PartS1_Pb ","KdPbDMS1  ",  18,"x",1
"PartS1_As ","FrAsDisS1 ",   1,"x",1
"PartS1_As ","FrAsDOCS1 ",   2,"x",1
